conf,accuracy,precision,recall,f1_score,avg_latency_ms,std_latency_ms
0.01,0.8666666666666667,0.823943661971831,0.9435483870967742,0.8796992481203008,115.59075374995398,19.694948689907324
0.02,0.8791666666666667,0.88,0.8870967741935484,0.8835341365461847,115.23857750010696,23.953098548745984
0.03,0.8833333333333333,0.9067796610169492,0.8629032258064516,0.8842975206611571,122.67028666653157,26.71297516708333
0.04,0.8625,0.9026548672566371,0.8225806451612904,0.8607594936708861,113.39580625014302,16.08655326512708
0.05,0.8708333333333333,0.926605504587156,0.8145161290322581,0.8669527896995708,110.27862124998744,12.21595716200108
0.06,0.8625,0.9252336448598131,0.7983870967741935,0.8571428571428571,108.49902874991433,11.077636212537419
0.07,0.8583333333333333,0.9245283018867925,0.7903225806451613,0.8521739130434782,109.68470041667995,13.287407735110447
0.08,0.8583333333333333,0.9245283018867925,0.7903225806451613,0.8521739130434782,108.8436879168512,11.18438248979397
0.09,0.85,0.9230769230769231,0.7741935483870968,0.8421052631578947,109.18508458316865,13.80787914707032
0.1,0.8458333333333333,0.9223300970873787,0.7661290322580645,0.8370044052863436,118.45545833305853,16.777082373895297
0.11,0.85,0.9313725490196079,0.7661290322580645,0.8407079646017699,111.29915833328899,13.016718254125621
0.12,0.8458333333333333,0.9306930693069307,0.7580645161290323,0.8355555555555556,109.69726333290357,12.567144279338157
0.13,0.8416666666666667,0.93,0.75,0.8303571428571429,109.91470916669641,14.018278945215298
0.14,0.8375,0.9292929292929293,0.7419354838709677,0.8251121076233184,119.87386124995585,13.528030278758566
0.15,0.8416666666666667,0.9387755102040817,0.7419354838709677,0.8288288288288288,113.03162874986204,18.334814113039723
0.16,0.85,0.9583333333333334,0.7419354838709677,0.8363636363636363,111.9022091664192,12.55227431790546
0.17,0.8583333333333333,0.9787234042553191,0.7419354838709677,0.8440366972477065,110.92393333337895,14.599161047116535
0.18,0.8541666666666666,0.978494623655914,0.7338709677419355,0.8387096774193549,112.9079616664967,14.951425011820485
0.19,0.8541666666666666,0.978494623655914,0.7338709677419355,0.8387096774193549,116.78876041654196,27.00996849501884
0.2,0.85,0.9782608695652174,0.7258064516129032,0.8333333333333334,113.21234833312701,15.039767065609048
0.21,0.8458333333333333,0.978021978021978,0.717741935483871,0.827906976744186,110.44489416669118,11.980030185154414
0.22,0.8458333333333333,0.978021978021978,0.717741935483871,0.827906976744186,111.33551624989195,13.969323149968838
0.23,0.8375,0.9775280898876404,0.7016129032258065,0.8169014084507042,115.99017833338318,14.108528015137583
0.24,0.8333333333333334,0.9772727272727273,0.6935483870967742,0.8113207547169812,112.96454083339995,14.883833509131293
0.25,0.8333333333333334,0.9772727272727273,0.6935483870967742,0.8113207547169812,112.34052666641219,11.799324543186241
0.26,0.825,0.9767441860465116,0.6774193548387096,0.8,113.55491541674685,15.359411515691681
0.27,0.825,0.9767441860465116,0.6774193548387096,0.8,110.88705333328714,11.7161241011562
0.28,0.825,0.9767441860465116,0.6774193548387096,0.8,111.51144541709073,14.650713030574158
0.29,0.825,0.9767441860465116,0.6774193548387096,0.8,112.08342875027786,13.014240094975722
0.3,0.825,0.9767441860465116,0.6774193548387096,0.8,113.68832833362224,15.749233963762437
0.31,0.825,0.9767441860465116,0.6774193548387096,0.8,120.50665958340687,15.170691543067035
0.32,0.8291666666666667,0.9882352941176471,0.6774193548387096,0.8038277511961722,122.54884291660346,19.098374725560316
0.33,0.8291666666666667,0.9882352941176471,0.6774193548387096,0.8038277511961722,113.57075916666872,17.02137765307443
0.34,0.8291666666666667,0.9882352941176471,0.6774193548387096,0.8038277511961722,110.50423249998858,11.625013631017104
0.35,0.8291666666666667,0.9882352941176471,0.6774193548387096,0.8038277511961722,110.3648129166686,12.693247443266577
0.36,0.8333333333333334,1.0,0.6774193548387096,0.8076923076923077,109.08735250022801,12.023133895597722
0.37,0.8291666666666667,1.0,0.6693548387096774,0.8019323671497585,111.25140750015514,15.296487668800905
0.38,0.825,1.0,0.6612903225806451,0.7961165048543689,109.58015875006215,12.118360879739475
0.39,0.825,1.0,0.6612903225806451,0.7961165048543689,109.48477666652252,12.89089658213825
